ID,BEAUTIFUL WARRIOR ID,SKILL NAME,SKILL TYPE,SKILL LEVEL,SKILL DESCRIPTION,effect 1,effect 2
166,56,Rapid Fire,active,1,"Deals 153% Mag. DMG to 2 enemies in front, 35% chance to inflict [Freeze] (Lasts: 2 turns), CRT Rate +50% when target is under [Freeze]. Cooldown: 4 turn(s) and triggers on turn 2.","Freeze, Inflicts [Immobilize]. Effect removed after 3 attacks, but affected Beautiful Warrior takes Shaved Ice DMG equal to 10% of attacker's ATK. Cooldown: 4 turn(s) and triggers on turn 2.",
167,56,Nephilim Power,passive,1,Own CRT Rate +10% when HP is over 30% of max HP at start of the turn. Lasts 1 turn. Own ATK +10% when HP is under 30% of max HP. Lasts 1 turn.,,
168,57,Random Hit,active,1,"Deals 77% Mag. DMG to 3 random enemies, with a 50% chance of inflicting [Magic Backlash]. Prioritizes Mages (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Magic Backlash, When affected target attacks with magic, they take magic, they take DMG equal to 20% of their own ATK.",
169,57,Boost Stats,passive,1,"ATK +15%, HP +5%, SPD +10",,
170,57,Dissolving Liquid,active,1,"Deals 90% Mag. DMG to 4 random enemies, with a 43% chance of inflicting [Magic Backlash] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 2.","Magic Backlash, When affected target attacks with magic, they take magic, they take DMG equal to 20% of their own ATK.",
171,57,Shapeshifter,passive,1,[Magic Backlash] DMG +10%,,
172,58,Horizontal Slash,active,1,"Inflicts 88% physical DMG to enemies in the front and middle rows, with a 50% chance to inflict [Burn]. (Lasts: 3 turns) If the target is a tank, inflicts additional DMG equal to 7% of the target's max HP. Cannot exceed 10x Mirim's ATK. Cooldown: 2 turn(s) and triggers on turn 1.","Burn, Target loses HP equal to 20% of user's ATK every turn. Effect can be stacked.",
173,58,Hyper Vibration,passive,1,"HP +20%, ATK +10%, SPD +5",,
174,58,Jump Strike,active,1,"Inflicts 247% Phys. DMG to 1 enemy with the lowest HP. If the target has [Burn] type of debuff applied, deals a CRT hit. Cooldown: 4 turn(s) and triggers on turn 2.","Burn, Target loses HP equal to 20% of user's ATK every turn. Effect can be stacked.",
175,58,Ultimate Project,passive,1,DMG to enemies with [Burn] type of debuff +10%,"Burn, Target loses HP equal to 20% of user's ATK every turn. Effect can be stacked.",
176,59,Downswing,active,1,"Deals 99% Phys. DMG to enemies in the front and middle rows, 30% chance to inflict [Provoke] (Lasts: 1 turns), 50% chance to inflict [Provoke] if the opponent's speed is lower than yours. Cooldown: 2 turn(s) and triggers on turn 1.","Provoke, Forces the affected enemy to perform a Normal Attack on the user.",
177,59,Noble Adventurer,passive,1,"HP +15%, DEF +5%",,
178,59,Dragon Tail,active,1,"Deals 189% Phys. DMG to 1 enemy, and own DMG RES +7% (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 2.",,
179,59,Noble's Grace,passive,1,DMG RES +8% if the enemy's speed is lower than yours.,,
180,60,Provoke,active,1,Protects 2 allies with the highest SPD and takes 40% received DMG. +5% DMG RES and Immobilize RES for self and the protected allies. Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 1.,,
181,60,Rough,passive,1,"HP +20%, DEF +10%",,
182,60,Counter Stance,active,1,Removes all debuffs and recovers 15% Max HP. Cooldown: 4 turn(s) and triggers on turn 2.,,
183,60,Short Tempered,passive,1,"Own DMG RES +5%. Normal Attack becomes a triple strike for 110% Phys. DMG. When targeted with a Non-Counter, 40% chance to counterattack with this attack. 15% Chance of target's DEF -10% when attacking, lasts for 2 turns.",,
184,61,Skylight,active,1,DMG RES +10% to 3 allies with highest ATK. Lasts 2 turns. [Divine Authority] Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 1.,"Divine Authority, When own HP falls below 40%, heals for 40% of Max HP. Revives at 25% of Max HP when incapacitated. When either effect triggers, Divine Authority will disappear. Lasts 2 turns and cannot be removed.","DMG RES, Own DMG RES +10%. Lasts 2 turns."
185,61,Featherskin,passive,1,"ATK +25%, HP +15%, SPD +10",,
186,61,Light Pillar,active,1,"Deals 94% Phys. DMG to all enemies, with a 50% chance of inflicting [Holy Judgement] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 2.","Holy Judgement, Own DMG RES -6% and Immobilize RES -4% and receives additional DMG equal to 7% of user's ATK when attacked. Lasts 2 turns. Max 3 stacks.",
187,61,Spear of Light,passive,1,"When using a normal attack, 100% chance of inflicting [Holy Judgement] for 2 turns. In addition, 60% chance of inflicting a normal attack on the enemy that acted during the enemy's own turn.","Holy Judgement, Own DMG RES -6% and Immobilize RES -4% and receives additional DMG equal to 7% of user's ATK when attacked. Lasts 2 turns. Max 3 stacks.",
188,62,Holy Flare,active,1,"Deals 81% Mag. DMG to all enemies, with a 70% chance of inflicting 30% [DEF RED] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.","DEF RED, DEF -30%",
189,62,Saint of Compassion,passive,1,"HP +15%, ATK +5%, SPD +10",,
190,62,Holy Pose: Gospel,active,1,"Heals all allies (Recovery amount is 98% of own ATK), and all allies ATK +15%. Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 2.",,
191,62,Divine Power,passive,1,50% chance to inflict 30% [DEF RED] on Normal Attack (Lasts: 2 turns).,"DEF RED, DEF -30%",
192,63,Ocean's Thunder,active,1,"Deals 190% Phys. DMG to 1 enemy in the front ignoring 30% DEF, and DMG +20% if the target is in [Static] State. Cooldown: 2 turn(s) and triggers on turn 1.",,
193,63,Witch's Spy,passive,1,"ATK +20%, CRT DMG +10%",,
194,63,Pirate Aesthetics,passive,1,"When attacking, there is a 60% chance to deal 100% Phys. DMG.",,
195,63,Notorious Pirate,passive,1,"When targeted with a Non-Counter, 60% chance to counterattack the target with a [Normal Attack] of 100% Phys. DMG.",,
196,64,Kouma Clan Great Tornado,active,1,"Deals 72% Phys. DMG to all enemies, with a 40% chance of inflicting 1 [Bleed] for 2 turns. Cooldown: 2 turn(s) and triggers on turn 1.","Bleed, Each turn, lost HP equal to 25% of the user's ATK. Effect can be stacked.",
197,64,Fugitive Ninja,passive,1,"ATK +30%, HP +20%, CRT +10%, Phys. DMG +10%",,
198,64,Shadow Sewing Art,active,1,Deals 3 consecutive attacks to the enemy with the lowest HP. Deals a total of 247% Phys. DMG. Each attack has a 40% chance of inflicting 1 [Bleed] to the target. Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 2.,"Bleed, Each turn, lost HP equal to 25% of the user's ATK. Effect can be stacked.",
199,64,Asura's Path,passive,1,"When an ally deals [Bleed] DMG, the target's Max HP is permanently reduced by 60% of [Bleed] dealt DMG. This effect cannot be removed.",,
200,65,Grand Art,active,1,"Deals 88% Mag. DMG to all enemies, with a 30% chance of inflicting [Static] (Lasts: 3 turns). Receives DMG of 15% self ATK in the [Static] state. Cooldown: 2 turn(s) and triggers on turn 1.","Static, One time when attacked, loses additional HP equal to 15% of user's ATK.",
201,65,Beautiful Warrior,passive,1,"ATK 20%, HP +10%, SPD +10",,
202,65,Shock Spear,active,1,"Deals 104% Mag. DMG to all enemies, with a 30% chance to [Paralyze] any enemies with [Static] debuff. (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 2.","Paralysis, Inflicts [Immobilize]",
203,65,Ruler's Duty,passive,1,30% chance of inflicting [Seal] on target when using skill [Shock Spear] (Lasts: 2 turns),"Seal, Affected is unable to deal CRT DMG and passive skills don't trigger.",
204,66,Essence of Steel Mountain,active,1,"Deals 70% Phys. DMG to all enemies, with a 40% chance to inflict 1 [Curse] on the target. Grants a shield equal to 5% of the user's max HP for 2 turns to self and the ally with the lowest HP. Cooldown: 2 turn(s) and triggers on turn 1.","Curse, After 2 turns, takes DMG of [50% user's ATK]. Effect can be stacked.",
205,66,Pure Black Steel,passive,1,"HP +30%, DEF +20%, Immob. RES +10%",,
206,66,Unbreakable Steel,active,1,Grants [Healing Curse] to all allies. Lasts for 3 turns and cannot be removed. Cooldown: 4 turn(s) and triggers on turn 2.,"Curse, After 2 turns, takes DMG of [50% user's ATK]. Effect can be stacked.","Healing Curse, If the state owner takes damage, the user heals HP equal to 30% of own ATK. This effect can trigger up to 3 times per turn. If the state owner is attacked, they have an 80% chance to inflict 1 [Curse] on the attacker. This effect can trigger once per turn and lasts for 3 turns. It Cannot be removed."
207,66,Unforgotten Iron,passive,1,"If the enemy receives Curse DMG, there is a 40% chance to obtain 1 [Curse Seal]. The [Curse] inflicted on enemies will not removed as long as this Beautiful Warrior is alive.","Curse, After 2 turns, takes DMG of [50% user's ATK]. Effect can be stacked.","Curse Seal, Each one reduce the status owner's SPD by 1%, increases dealt [Curse] DMG by 2%, can stack up to 20 times, cannot be removed, and disappears upon defeat."
